step,epoch,openalex_id,group_index,reward,R_correctness,R_reasoning,R_adaptation,advantage,initial_label,final_label,revised,revision_probability,parse_error
21,2,SYNTHW0000011,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,neutral,0,0.6152259531992359,
21,2,SYNTHW0000011,1,1.5,1.0,0.3,0.2,1.4666666666666666,neutral,consolidating,1,0.6152259531992359,
21,2,SYNTHW0000011,2,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,disruptive,0,0.6152259531992359,
22,2,SYNTHW0000023,0,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,disruptive,1,0.6290165230447226,
22,2,SYNTHW0000023,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,disruptive,neutral,0,0.6290165230447226,
22,2,SYNTHW0000023,2,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,disruptive,0,0.6290165230447226,
23,2,SYNTHW0000029,0,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,neutral,1,0.6358353008389628,
23,2,SYNTHW0000029,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,consolidating,consolidating,0,0.6358353008389628,
23,2,SYNTHW0000029,2,1.5,1.0,0.3,0.2,0.7333333333333334,disruptive,neutral,1,0.6358353008389628,
24,2,SYNTHW0000034,0,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.6493082652711343,
24,2,SYNTHW0000034,1,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,1,0.6493082652711343,
24,2,SYNTHW0000034,2,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.6493082652711343,
